UF,Município,Situação do Plano,Valor Disponível
PI,BARREIRAS DO PIAUI,Autorizado,49526.15
AM,BARREIRINHA,Autorizado,296103.12
MA,BARREIRINHAS,Autorizado,551360.08
PE,BARREIROS,Autorizado,406870.1
SP,BARRETOS,Autorizado,1025245.36
SP,BARRINHA,Autorizado,312056.54
CE,BARRO,Autorizado,223564.02
GO,BARRO ALTO,Autorizado,118732.26
BA,BARRO ALTO,Autorizado,160323.82
PI,BARRO DURO,Autorizado,74919.31
BA,BARRO PRETO,Autorizado,69938.18
BA,BARROCAS,Autorizado,167624.52
TO,BARROLANDIA,Autorizado,63782.85
CE,BARROQUINHA,Autorizado,158878.4
RS,BARROS CASSAL,Autorizado,115948.01
MG,BARROSO,Autorizado,208974.92
SP,BARUERI,Autorizado,2184659.84
SP,BASTOS,Autorizado,204945.2
MS,BATAGUASSU,Autorizado,226620.45
AL,BATALHA,Autorizado,195282.59
PI,BATALHA,Autorizado,248001.21
SP,BATATAIS,Autorizado,559049.24
MS,BATAYPORA,Autorizado,120750.76
CE,BATURITE,Autorizado,337440.33
SP,BAURU,Autorizado,2891193.58
PB,BAYEUX,Autorizado,833300.44
SP,BEBEDOURO,Autorizado,667197.42
CE,BEBERIBE,Autorizado,496122.87
CE,BELA CRUZ,Autorizado,314748.56
MS,BELA VISTA,Autorizado,245586.98
PR,BELA VISTA DA CAROBA,Autorizado,56846.59
GO,BELA VISTA DE GOIAS,Autorizado,290924.52
MG,BELA VISTA DE MINAS,Autorizado,113561.41
MA,BELA VISTA DO MARANHAO,Autorizado,114866.37
PR,BELA VISTA DO PARAISO,Autorizado,162117.56
PI,BELA VISTA DO PIAUI,Autorizado,54291.7
SC,BELA VISTA DO TOLDO,Autorizado,70689.99
MA,BELAGUA,Autorizado,79747.76
PA,BELEM,Autorizado,11965088.6
AL,BELEM,Autorizado,63049.53
PB,BELEM,Autorizado,185958.81
PE,BELEM DE MARIA,Autorizado,128271.2
PE,BELEM DE SAO FRANCISCO,Autorizado,209560.68
PB,BELEM DO BREJO DO CRUZ,Autorizado,82516.73
PI,BELEM DO PIAUI,Autorizado,51264.75
RJ,BELFORD ROXO,Autorizado,3800294.89
